	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
1454	复方贞术调脂方及有效成分黄连素对肝纤维化小鼠肠道屏障的干预研究	庄黎航	广东药科大学	硕士	2020	6	365	原版阅读      CNKI AI阅读
1455	基于医案关联规则分析的四逆散方证研究	吕丽容	广西中医药大学	硕士	2020	1	136	原版阅读      CNKI AI阅读
1456	基于医案数据分析探讨半夏泻心汤的方证研究	李斌斌	广西中医药大学	硕士	2020	8	467	原版阅读      CNKI AI阅读
1457	两种黄连内生真菌和金山五味子的化学成分研究	季嘉诚	中南民族大学	硕士	2020	5	205	原版阅读      CNKI AI阅读
1458	基于数据挖掘的陈四清诊治HBeAg阴性慢性乙型病毒性肝炎的经验研究	胡秋红	南京中医药大学	硕士	2020		205	原版阅读      CNKI AI阅读
1459	黄连素经Hsa-miR-411-3P作用于胃癌细胞的功能及机制研究	陈雪艳	广东药科大学	硕士	2020	3	164	原版阅读      CNKI AI阅读
1460	鲁中山地丘陵同质生境内17个树种根叶功能性状的比较	刘洪凯	山东农业大学	硕士	2020	3	625	原版阅读      CNKI AI阅读
1461	冰片对黄连素在白羽肉鸡体内组织分布影响作用的研究	刘译心	山东农业大学	硕士	2020	3	149	原版阅读      CNKI AI阅读
1462	基于真实世界数据驱动的糖尿病中医适应性治疗策略研究	文天才	西北工业大学	博士	2020		98	原版阅读      CNKI AI阅读
1463	徐灵胎通治方配伍特点研究	郝峰	黑龙江中医药大学	博士	2020	3	421	原版阅读      CNKI AI阅读
1464	腻苔的病因病机与治疗用药及泄泻腻苔菌群结构研究	齐城成	江西中医药大学	博士	2020	9	445	原版阅读      CNKI AI阅读
1465	地黄连作障碍发生的生物机制及其消减措施研究	杜家方	华中农业大学	博士	2020	31	1501	原版阅读      CNKI AI阅读
1466	清热药治疗2型糖尿病用药规律及其对调节肠道菌群作用机制研究	王逗逗	北京中医药大学	博士	2020	18	2170	原版阅读      CNKI AI阅读
1467	2型糖尿病清热益气治法的传承及机制研究	孙瑞茜	北京中医药大学	博士	2020	7	998	原版阅读      CNKI AI阅读
1468	基于数据挖掘的刘铁军教授运用附子类方治疗脾胃病的组方规律研究	李若愚	长春中医药大学	博士	2020	8	947	原版阅读      CNKI AI阅读
1469	抑菌颗粒剂的研究报告	陈江辉	延边大学	硕士	2020		92	原版阅读      CNKI AI阅读
1470	基于Wnt信号通路探究葛根素-甘草次酸协同配伍的生物机制	李彦萍	北京中医药大学	硕士	2020		110	原版阅读      CNKI AI阅读
1471	中草药复方三黄连合剂的临床试验研究	王春会	广西大学	硕士	2020		39	原版阅读      CNKI AI阅读
1472	三黄连散预防罗非鱼链球菌病的临床药效学及安全性研究	禹方晓	广西大学	硕士	2020	1	55	原版阅读      CNKI AI阅读
1473	岩黄连总生物碱开发肠道微生态调节剂的可行性探讨	刘西	广西医科大学	硕士	2020		117	原版阅读      CNKI AI阅读
1474	川产黄连资源调查及三角叶黄连组织快繁体系初探	陈思汛	四川农业大学	硕士	2020	3	271	原版阅读      CNKI AI阅读
1475	康儿灵颗粒的工艺优化与质量标准提升	金诚	上海中医药大学	硕士	2020	2	609	原版阅读      CNKI AI阅读
1476	医疗机构制剂抗瘤增效颗粒药学研究	吴阳阳	上海中医药大学	硕士	2020		260	原版阅读      CNKI AI阅读
1477	益生菌添加剂和养殖密度对育肥猪生长性能的影响	韩铁铮	华南农业大学	硕士	2020	2	211	原版阅读      CNKI AI阅读
1478	黄连素治疗精神分裂症患者代谢综合征的临床研究——一项三臂随机对照试验	张莉	苏州大学	硕士	2020		153	原版阅读      CNKI AI阅读
1479	基于数据分析探讨高子平教授治疗痤疮的证治规律及用药特点	汪宁	成都中医药大学	硕士	2020	2	182	原版阅读      CNKI AI阅读
1480	耦合理念引导下的城市山地植物群落景观营造研究——以南京李家山官窑山景观提升为例	陈媛	东南大学	硕士	2020	5	432	原版阅读      CNKI AI阅读
1481	自拟复方中药对鹌鹑源大肠杆菌耐药消除的研究	李鑫	四川农业大学	硕士	2020		144	原版阅读      CNKI AI阅读
1482	七味中药对金黄色葡萄球菌耐药性消除作用的研究	丛彬	湖南农业大学	硕士	2020	6	485	原版阅读      CNKI AI阅读
1483	邹澍本草著作的隐喻认知研究	孙涛	南宁师范大学	硕士	2020	1	230	原版阅读      CNKI AI阅读
1484	Fmoc-氨基酸抗菌水凝胶的构建及生物活性研究	张艳文	天津科技大学	硕士	2020		230	原版阅读      CNKI AI阅读
1485	复方黄柏液及其成分黄连素抗糖尿病溃疡作用及分子机制研究	周瑞	云南中医药大学	硕士	2020	5	645	原版阅读      CNKI AI阅读
1486	岩黄连对慢性肝性脑病大鼠的影响及其作用机制的研究	阮景晟	广西医科大学	硕士	2020		147	原版阅读      CNKI AI阅读
1487	盐酸小檗碱抗非小细胞肺癌的研究	李忠杰	江南大学	硕士	2020	6	421	原版阅读      CNKI AI阅读
1488	加味黄连温胆汤对高血压病患者P波离散度、左室质量指数的影响	任明嘉	黑龙江中医药大学	硕士	2020	5	148	原版阅读      CNKI AI阅读
1489	黄连解毒汤调节脂代谢改善LPS诱导斑马鱼及高脂叠加APP/PS1小鼠炎症研究	周俊怡	中国中医科学院	硕士	2020	9	1185	原版阅读      CNKI AI阅读
1490	基于太赫兹光谱技术与化学计量学方法的中药识别研究	章龙	南京林业大学	硕士	2020	8	447	原版阅读      CNKI AI阅读
1491	施今墨对药配方对2型糖尿病大鼠胰岛细胞凋亡的影响	马雷雷	华北理工大学	硕士	2020	4	397	原版阅读      CNKI AI阅读
1492	施今墨对药配方对T2DM大鼠骨骼肌胰岛素抵抗的影响	王雪楠	华北理工大学	硕士	2020	4	118	原版阅读      CNKI AI阅读
1493	基于气络理论连陈汤加味治疗络郁湿阻型肥胖的疗效观察	崔嘉雯	黑龙江中医药大学	硕士	2020	3	129	原版阅读      CNKI AI阅读
1494	连陈汤治疗脾虚湿阻型肥胖的疗效观察及对肠道菌群的影响	刘翠翠	黑龙江中医药大学	硕士	2020	22	535	原版阅读      CNKI AI阅读
1495	黄连解毒汤合桂枝茯苓汤治疗不稳定性心绞痛（瘀热相搏型）的临床观察	张彩凤	黑龙江中医药大学	硕士	2020	1	245	原版阅读      CNKI AI阅读
1496	倍蚜寄主盐肤木属叶绿体全基因组及进化意义	徐玉洁	山西大学	硕士	2020	5	310	原版阅读      CNKI AI阅读
1497	黄连素调节中性粒细胞表型改善阿霉素耐药机制研究	张舒慧	河南大学	硕士	2020	1	428	原版阅读      CNKI AI阅读
1498	黄连壮苗稀植栽培技术及产地初加工干燥方法研究	马玉涛	华中农业大学	硕士	2020	10	459	原版阅读      CNKI AI阅读
1499	基于数据挖掘《中医方剂大辞典》治疗消渴方药证治规律研究	杨倩	辽宁中医药大学	硕士	2020	2	339	原版阅读      CNKI AI阅读
1500	基于数据发掘宋金元时期治疗痢疾的用药规律研究	周洁	湖南中医药大学	硕士	2020	1	154	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
1501	基于文献研究中医外治方治疗痤疮剂型应用及用药规律探究	时晓婷	辽宁中医药大学	硕士	2020	3	379	原版阅读      CNKI AI阅读
1502	李明权教授治疗糖尿病肾病蛋白尿组方规律及核心处方网络药理学研究	吴海丽	成都中医药大学	硕士	2020	6	555	原版阅读      CNKI AI阅读
1503	黄连五年连作对土壤微生物群落的影响	马博文（MOHAMMAD MURTAZA ALAMI）	华中农业大学	硕士	2020	4	260	原版阅读      CNKI AI阅读
1504	国医大师熊继柏诊治肺癌临床经验挖掘研究	黄亮	湖南中医药大学	硕士	2020	18	621	原版阅读      CNKI AI阅读
1505	基于文献研究人与动物“痢疾”辨证论治的差异	汤意远	湖南中医药大学	硕士	2020		121	原版阅读      CNKI AI阅读
1506	基于数据挖掘易水学派及河间学派治疗痞满的用药规律研究及比较	陈婕	湖南中医药大学	硕士	2020	6	300	原版阅读      CNKI AI阅读
1507	斑点叉尾鮰出血病病原鉴定及中草药筛选	陶莎	贵州大学	硕士	2020	7	339	原版阅读      CNKI AI阅读
1508	B-HA、黄芪、黄连对人中性粒细胞吞噬功能及移走运动影响的研究	吴雅慧	东北农业大学	硕士	2020	1	187	原版阅读      CNKI AI阅读
1509	《伤寒论》“方-药-证”关系研究	孙筱筱	北京中医药大学	硕士	2020	8	1159	原版阅读      CNKI AI阅读
1510	半夏泻心汤方证研究	张楚楚	北京中医药大学	硕士	2020	4	711	原版阅读      CNKI AI阅读
1511	基于Galectin-3介导的TGF-β1/Smad3通路探讨参连复脉颗粒抗炎抗早期纤维化机制	蔡芸	北京中医药大学	硕士	2020	2	353	原版阅读      CNKI AI阅读
1512	黄连温胆汤加减治疗失眠症痰热扰心证的临床观察	黄巧捷	湖南中医药大学	硕士	2020	13	386	原版阅读      CNKI AI阅读
1513	唐旭东教授论治胃食管反流病经验挖掘及网络药理学研究	郭瑞	北京中医药大学	硕士	2020	4	598	原版阅读      CNKI AI阅读
1514	慢性萎缩性胃炎脾气虚证与T细胞亚群相关性研究及导师经验总结	吴陈娟	北京中医药大学	硕士	2020	4	250	原版阅读      CNKI AI阅读
1515	俞根初《通俗伤寒论》厥阴病证治研究	张楠	北京中医药大学	硕士	2020	5	544	原版阅读      CNKI AI阅读
1516	愈肤方防治急性放射性皮炎的疗效与安全性评价	岳佳佳	北京中医药大学	硕士	2020	3	241	原版阅读      CNKI AI阅读
1517	三阴三阳体质量表再评价与赵进喜治疗阳明体质2型糖尿病经验总结	黄晓强	北京中医药大学	硕士	2020	4	428	原版阅读      CNKI AI阅读
1518	抗炎透明质酸片段和植物提取物对鼻咽喉炎的局部治疗效果和产品机制研究	薄乐	东北农业大学	硕士	2020		189	原版阅读      CNKI AI阅读
1519	葛根芩连汤调控炎症通路改善降糖效应的物质基础和作用机制研究	吴青华	江西中医药大学	硕士	2020	10	602	原版阅读      CNKI AI阅读
1520	黄连温胆汤加味穴位贴敷对痰热型原发性高血压患者24小时动态血压的影响	王淑婉	河北北方学院	硕士	2020		118	原版阅读      CNKI AI阅读
1521	许家栋经典经方学术思想总结及阳明四法药证规律研究	林锋敏	广州中医药大学	硕士	2020	8	871	原版阅读      CNKI AI阅读
1522	基于王孟英《舌辨》与经方医案为考察中心的望舌辨证研究	束永康	广州中医药大学	硕士	2020	2	393	原版阅读      CNKI AI阅读
1523	基于数据挖掘的刘真教授运用膏方治疗冠心病稳定型心绞痛的经验研究	史艳丹	河北北方学院	硕士	2020	3	121	原版阅读      CNKI AI阅读
1524	许昌市古树名木现状资源调查与综合评价	王亚洲	河南科技大学	硕士	2020	8	471	原版阅读      CNKI AI阅读
1525	饲料中添加黄连素对草鱼幼鱼脂肪蓄积的影响及其机制分析	靳雅琦	天津农学院	硕士	2020	5	382	原版阅读      CNKI AI阅读
1526	以microRNA G-四链体结构为靶点的化学小分子调控癌症相关基因表达研究	席敏	重庆大学	硕士	2020	1	147	原版阅读      CNKI AI阅读
1527	离子液体辅助提取葡萄籽中原花青素的工艺研究	王敏敏	大连工业大学	硕士	2020	2	417	原版阅读      CNKI AI阅读
1528	龙岩地质公园地质遗迹特征及对比分析	王雅薇	中国地质大学(北京)	硕士	2020	2	262	原版阅读      CNKI AI阅读
1529	新型离子液体整体色谱材料制备及性能研究	周玉凤	河北大学	硕士	2020		163	原版阅读      CNKI AI阅读
1530	冷炎教授治疗慢性糜烂性胃炎用药规律研究	陈世超	长春中医药大学	硕士	2020	9	162	原版阅读      CNKI AI阅读
1531	《伤寒论》中治利法的研究	卢俊鹏	长春中医药大学	硕士	2020	2	313	原版阅读      CNKI AI阅读
1532	基于中医传承辅助平台探讨黄飞翔主任医师治疗心悸的用药规律	陈榕榕	福建中医药大学	硕士	2020	8	391	原版阅读      CNKI AI阅读
1533	半夏泻心汤加味治疗寒热错杂型儿童幽门螺杆菌相关胃脘痛的临床疗效观察	李溦	福建中医药大学	硕士	2020	6	209	原版阅读      CNKI AI阅读
1534	交泰安神方治疗心肾不交型失眠症患者的临床疗效观察	陈琳	福建中医药大学	硕士	2020	10	372	原版阅读      CNKI AI阅读
1535	基于中医传承辅助系统挖掘马凤琴教授治疗胃癌前病变的用药经验	方秀秀	河北大学	硕士	2020	3	251	原版阅读      CNKI AI阅读
1536	黄连素通过调控SIRT1/Opa1通路改善肝胰岛素抵抗的作用及机制研究	徐佳	吉林大学	硕士	2020	8	493	原版阅读      CNKI AI阅读
1537	黄连素通过激活AMPK/mTOR保护高糖损伤视锥及色素上皮细胞的作用机制研究	张占强	吉林大学	硕士	2020	3	370	原版阅读      CNKI AI阅读
1538	黄连温胆汤加减治疗糖尿病前期（糖耐量受损IGT）湿热蕴脾证的临床研究	庄新茹	长春中医药大学	硕士	2020	10	385	原版阅读      CNKI AI阅读
1539	黄连总生物碱与三七总皂苷组合物对糖尿病合并冠心病药效作用及作用机制研究	王晓	长春中医药大学	硕士	2020	5	424	原版阅读      CNKI AI阅读
1540	黄连多糖对糖尿病大鼠肾脏损伤的保护作用及机制研究	周东月	长春中医药大学	硕士	2020	9	288	原版阅读      CNKI AI阅读
1541	术芍化湿汤治疗小儿腹泻（湿热泻）临床疗效评价	周梦晓	长春中医药大学	硕士	2020	5	202	原版阅读      CNKI AI阅读
1542	中药复方发酵粉对断奶仔猪生产性能、养分利用和肠道微生物的影响	曲浩杰	山东农业大学	硕士	2020	17	800	原版阅读      CNKI AI阅读
1543	基于数据挖掘系统总结赵建军教授治疗失眠的经验	王旭	长春中医药大学	硕士	2020	7	290	原版阅读      CNKI AI阅读
1544	养阴安神汤治疗失眠症（阴虚火旺证）的临床观察	张惠	长春中医药大学	硕士	2020		161	原版阅读      CNKI AI阅读
1545	基于数据挖掘系统总结赵建军教授治疗抑郁症的临床经验	贾明阳	长春中医药大学	硕士	2020	1	295	原版阅读      CNKI AI阅读
1546	黄连素通过抑制ROS-内质网应激减轻棕榈酸诱导的足细胞凋亡	向星阳	重庆医科大学	硕士	2020	4	358	原版阅读      CNKI AI阅读
1547	黄连素在实验性自身免疫性葡萄膜炎中的作用及机制研究	杜子玉	重庆医科大学	硕士	2020	5	375	原版阅读      CNKI AI阅读
1548	牛学恩教授治疗慢性萎缩性胃炎用药规律分析	王芳芳	河南中医药大学	硕士	2020	1	109	原版阅读      CNKI AI阅读
1549	黄连解毒汤体内外化学成分分析及其干预糖尿病脑病的代谢组学研究	曹东敏	广东药科大学	硕士	2020	7	1009	原版阅读      CNKI AI阅读
1550	五味消渴方合白虎汤治疗胃热炽盛证2型糖尿病的临床研究	吴耿旭	广西中医药大学	硕士	2020	2	282	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
1551	“一镇一品”战略下石柱黄连产品品牌包装设计	罗琳凤	湖南工业大学	硕士	2020	2	219	原版阅读      CNKI AI阅读
1552	黄连解毒汤联合盐酸多奈哌齐片治疗阿尔茨海默病（心肝火旺型）的临床疗效观察	杨青	湖北中医药大学	硕士	2020	13	339	原版阅读      CNKI AI阅读
1553	黄紫乳膏治疗慢性局限性湿疹临床观察	胡曼丽	湖北中医药大学	硕士	2020	3	237	原版阅读      CNKI AI阅读
1554	王氏连朴饮的方证相关研究	刘之义	湖北中医药大学	硕士	2020	7	472	原版阅读      CNKI AI阅读
1555	《千金方》儿科病证方药研究	蒋立卫	上海中医药大学	硕士	2020	4	298	原版阅读      CNKI AI阅读
1556	黄连提取物中天然纳米粒促进小檗碱肠道吸收的机制研究	赵青	上海中医药大学	硕士	2020	1	263	原版阅读      CNKI AI阅读
1557	胡黄连苷Ⅱ对蛛网膜下腔出血大鼠的脑保护作用机制相关研究	缪皑驰	上海中医药大学	硕士	2020	1	65	原版阅读      CNKI AI阅读
1558	黛柏湿疹膏联合封包疗法治疗慢性湿疹的临床研究	李静	上海中医药大学	硕士	2020	4	139	原版阅读      CNKI AI阅读
1559	基于化感作用的新型抑藻剂筛选及其生态安全性初探	周伟	上海海洋大学	硕士	2020	3	368	原版阅读      CNKI AI阅读
1560	基于网络药理学和蛋白质组学的半夏泻心汤抗慢性胃炎作用机制研究	纪万里	上海中医药大学	博士	2020	3	872	原版阅读      CNKI AI阅读
1561	清化方及其组分黄连素影响表观调控分子SETD2在治疗非酒精性肝脂肪变性中的作用及其机制研究	卢双	上海中医药大学	硕士	2020		93	原版阅读      CNKI AI阅读
1562	黄连水提物通过TRIM28蛋白影响血管内皮细胞芽生能力的研究	赵院院	上海中医药大学	硕士	2020	1	77	原版阅读      CNKI AI阅读
1563	酸枣仁汤加减治疗糖尿病伴失眠阴虚内热型的临床研究	熊微	湖北中医药大学	硕士	2020	14	479	原版阅读      CNKI AI阅读
1564	李家庚教授学术思想及辨治脾胃病的经验研究	魏仁贤	湖北中医药大学	博士	2020	17	1685	原版阅读      CNKI AI阅读
1565	基础设施建设中的村民合作研究——以石柱土家族自治县国峰村修路活动为例	刘坤	西南大学	硕士	2020		70	原版阅读      CNKI AI阅读
1566	基于复杂网络技术的熊继柏教授辨证论治规律研究	白景瑄	上海中医药大学	硕士	2020	3	243	原版阅读      CNKI AI阅读
1567	五倍子复方外用治疗痤疮的组方筛选、抑菌活性评价及机制初探	杨香玉	吉首大学	硕士	2020	7	955	原版阅读      CNKI AI阅读
1568	黄连解毒汤中13种活性成分的HPLC检测及其有效部位筛选与物质组方安全性评价	杨丽宏	甘肃农业大学	硕士	2020	12	748	原版阅读      CNKI AI阅读
1569	基于1型味觉受体信号通路探索清化颗粒促进小鼠肠道合成胰高血糖素样肽-1的实验研究	张萍	上海中医药大学	硕士	2020	1	148	原版阅读      CNKI AI阅读
1570	基于数据挖掘的周永明教授治疗原发免疫性血小板减少症的学术经验传承研究	亓雪燕	上海中医药大学	硕士	2020	2	90	原版阅读      CNKI AI阅读
1571	黄连素对耐碳青霉烯类铜绿假单胞菌外排泵MexAB-OprM的作用研究	王志盛	河南中医药大学	硕士	2020	3	220	原版阅读      CNKI AI阅读
1572	基于数据挖掘技术分析中药治疗糖尿病前期用药规律的研究	李玉萍	河南中医药大学	硕士	2020		253	原版阅读      CNKI AI阅读
1573	化痰活血清热方治疗冠脉临界病变痰瘀热证相关miRNA-mRNA基因差异表达谱及AS分子机制研究	关庆亚	湖北中医药大学	博士	2020	4	627	原版阅读      CNKI AI阅读
1574	黄连素/聚己内酯/胶原复合电纺纤维支架的构建及其对骨缺损修复的研究	马兰	南京大学	硕士	2020		108	原版阅读      CNKI AI阅读
1575	中药单体小檗碱抗多发性骨髓瘤靶点鉴定及分子作用机制研究	古春明	暨南大学	博士	2020		445	原版阅读      CNKI AI阅读
1576	负载黄连素的壳聚糖温敏水凝胶的制备及体外抑菌研究	柳玉梅	南京大学	硕士	2020	3	1307	原版阅读      CNKI AI阅读
1577	千金黄连干姜汤肠溶微丸的制备与评价	韦妍妍	广州中医药大学	博士	2020		174	原版阅读      CNKI AI阅读
1578	黄连素配伍番泻苷A保护糖尿病鼠肠道结构与功能及降糖机制研究	马丽	上海交通大学	博士	2020	1	539	原版阅读      CNKI AI阅读
1579	消渴饮水组分复方的配伍和治疗2型糖尿病的作用与机制研究	周杰文	华中科技大学	博士	2020	6	594	原版阅读      CNKI AI阅读
1580	中药寒热量化评价细胞平台的构建—寒药银对肿瘤细胞的抑制作用观察	王玥	北京中医药大学	博士	2020	3	581	原版阅读      CNKI AI阅读
1581	糖肾汤治疗早期糖尿病肾病临床观察及老年糖尿病肾病与衰弱的关联	范婷	北京中医药大学	博士	2020	2	742	原版阅读      CNKI AI阅读
1582	经方50味药物在历代日本汉方医家中的用药剂量研究	崔衣林	北京中医药大学	博士	2020	6	886	原版阅读      CNKI AI阅读
1583	痞满证治规律的中医古籍数据挖掘研究	李宛泽	广州中医药大学	博士	2020	10	2388	原版阅读      CNKI AI阅读
1584	基于冠心病痰证理论探讨温胆汤的体内药效物质和抗动脉粥样硬化作用机制	陈玄晶	广州中医药大学	博士	2020	7	688	原版阅读      CNKI AI阅读
1585	仲景清法与其它治法的配伍运用规律研究	李慧珍	江西中医药大学	硕士	2022	1	147	原版阅读      CNKI AI阅读
1586	文华图书馆学专科学校本科女性研究	符夏莹	江西师范大学	硕士	2020	2	176	原版阅读      CNKI AI阅读
1587	三种中草药对黄羽肉鸡生产性能和抗氧化能力的影响	刘承鑫	佛山科学技术学院	硕士	2020	9	339	原版阅读      CNKI AI阅读
1588	甲基黄连碱靶向抑制JNK2预防日光性皮炎及分子机制研究	马腾飞	华中科技大学	硕士	2020	1	218	原版阅读      CNKI AI阅读
1589	怀地黄连作障碍机理研究和消减技术探讨	王晓芳	河南师范大学	硕士	2020	2	228	原版阅读      CNKI AI阅读
1590	基于高灵敏质谱的天然药物活性成分分析新方法的研究	杨娟	杭州师范大学	硕士	2021		237	原版阅读      CNKI AI阅读
1591	情志相关性泄泻的方药及中医心理治疗文献研究	李伟	云南中医药大学	硕士	2020	7	391	原版阅读      CNKI AI阅读
1592	六味地黄连柏汤治疗老年2型糖尿病肾阴亏虚兼湿热证临床观察	宋云	云南中医药大学	硕士	2020	3	196	原版阅读      CNKI AI阅读
1593	基于数据挖掘林晓峰教授治疗心房颤动的用药规律研究	武彩芳	黑龙江中医药大学	硕士	2020		161	原版阅读      CNKI AI阅读
1594	腹泻型肠易激综合征用药规律研究	李蒙	陕西中医药大学	硕士	2020		274	原版阅读      CNKI AI阅读
1595	从热论治老年性痴呆诊疗经验研究	吴珊	陕西中医药大学	硕士	2020	7	372	原版阅读      CNKI AI阅读
1596	左金丸加味治疗幽门螺杆菌的疗效观察	步雅倩	中国医科大学	硕士	2020	3	138	原版阅读      CNKI AI阅读
1597	黄连解毒汤对HLP大鼠肝脏脂质代谢紊乱及细胞焦亡作用机制研究	吴佳蔓	辽宁中医药大学	硕士	2020	4	374	原版阅读      CNKI AI阅读
1598	基于α7nAchR探讨黄连解毒汤对Aβ1-42诱导的小胶质细胞炎症反应的作用机制	陈金鑫	成都中医药大学	硕士	2020	7	376	原版阅读      CNKI AI阅读
1599	古代名家痞满医案的文献整理和数据挖掘研究	吴娟娟	浙江中医药大学	硕士	2020	4	477	原版阅读      CNKI AI阅读
1600	基于六经辨证探讨脾胃病证治规律	叶彤	辽宁中医药大学	硕士	2020		631	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
1601	黄连在古代消渴及其相关病症治疗中的应用规律研究	关婧婷	辽宁中医药大学	硕士	2020	4	193	原版阅读      CNKI AI阅读
1602	中医药综合防治糖尿病前期的系统评价及用药规律分析	曲超	辽宁中医药大学	硕士	2020	4	315	原版阅读      CNKI AI阅读
1603	从湿热论治幽门螺杆菌相关性胃炎经验总结及文献证治规律研究	李珂	辽宁中医药大学	硕士	2020	4	176	原版阅读      CNKI AI阅读
1604	Fe3O4@ZIF-8核壳结构材料的制备、表征及E-Fenton氧化降解性能研究	李丽	大连理工大学	硕士	2020	2	865	原版阅读      CNKI AI阅读
1605	南武夷地区新元古界—下古生界沉积物源及其大地构造环境研究	江涧	合肥工业大学	硕士	2020	1	148	原版阅读      CNKI AI阅读
1606	基于中医传承辅助平台探讨米子良教授诊治胃痞的用药规律	任园	内蒙古医科大学	硕士	2020	5	225	原版阅读      CNKI AI阅读
1607	蒙成药小儿清肺八味丸质量控制方法研究	赵丽娜	内蒙古医科大学	硕士	2020	3	299	原版阅读      CNKI AI阅读
1608	铁基纳米酶协同戈登链球菌清除口腔龋齿生物膜的作用效果及机制研究	王砚秋	扬州大学	硕士	2020		509	原版阅读      CNKI AI阅读
1609	大黄黄连泻心汤对2型糖尿病大鼠骨骼肌中AMPKα、PGC-1α、GLUT4表达的影响	郝建华	内蒙古医科大学	硕士	2020	4	243	原版阅读      CNKI AI阅读
1610	基于PI3K/AKT/mTOR信号通路探讨交泰丸及其拆方抗抑郁的作用机制	冯曼	天津中医药大学	硕士	2020	14	440	原版阅读      CNKI AI阅读
1611	清胃散加减治疗胃火炽盛证糜烂性胃炎的临床研究	闵沙	北京中医药大学	硕士	2020	4	236	原版阅读      CNKI AI阅读
1612	基于文献统计探究中医药治疗失眠的时辰用药规律	林亮吟	北京中医药大学	硕士	2020	5	555	原版阅读      CNKI AI阅读
1613	基于数据挖掘技术探讨杨晋翔教授治疗萎缩性胃炎的用药规律	杨英姿	北京中医药大学	硕士	2020	1	240	原版阅读      CNKI AI阅读
1614	刘文峰教授中医药治疗糖尿病酮症及酮症酸中毒的临床经验探究	王红	天津中医药大学	硕士	2020	1	278	原版阅读      CNKI AI阅读
1615	基于数据挖掘方法研究周正华治疗溃疡性结肠炎用药规律及其分子机制初探	王婧夷	天津中医药大学	硕士	2020	2	363	原版阅读      CNKI AI阅读
1616	基于层次分析法规划昆明市的园林树种	朱奕婕	昆明理工大学	硕士	2020	14	763	原版阅读      CNKI AI阅读
1617	华北南缘中元古代地层特征及沉积古地理研究	王淼	中国地质大学(北京)	硕士	2020	3	359	原版阅读      CNKI AI阅读
1618	马鸿斌教授治疗慢性肾功能衰竭（CKD2-4期）经验总结及用药规律研究	凌必时	甘肃中医药大学	硕士	2020	3	347	原版阅读      CNKI AI阅读
1619	基于高分辨质谱和同位素质谱的黄连产地快速鉴定技术研究	杜华	重庆医科大学	硕士	2020	4	470	原版阅读      CNKI AI阅读
1620	敦煌医学汉文文献中独立成方之角药及配伍规律研究	叶红	甘肃中医药大学	硕士	2020	10	340	原版阅读      CNKI AI阅读
1621	黄连素对糖尿病大鼠肝脏内质网应激的调节作用	贺云	甘肃中医药大学	硕士	2020	2	285	原版阅读      CNKI AI阅读
1622	黄连治疗特应性皮炎活性成分及提取物质量标准研究	吴思琦	西南大学	硕士	2020	3	547	原版阅读      CNKI AI阅读
1623	香连丸有效成分的提取、安全性评价及其对化疗腹泻小鼠的影响	黄洁瑶	西南大学	硕士	2020	1	319	原版阅读      CNKI AI阅读
1624	黄连活性成分分离及抑制人皮脂腺细胞雄性激素合成机制研究	刘武阳	西南大学	硕士	2020	5	1076	原版阅读      CNKI AI阅读
1625	几种作物与种植施肥模式对蚯蚓的影响	陈浩	西南大学	硕士	2020	3	126	原版阅读      CNKI AI阅读
1626	腹膜透析患者的肠道菌群特征及“调脾泄浊方”对其影响	梁珏瑶	广州中医药大学	博士	2020		106	原版阅读      CNKI AI阅读
1627	半夏泻心汤加味改善2型糖尿病（脾虚胃热证）血糖控制的临床研究	马喜桃	成都中医药大学	博士	2020	8	818	原版阅读      CNKI AI阅读
1628	基于“肠道菌群—黏膜屏障”研究“黄芩—黄连”药对治疗T2DM的疗效机制及配伍效应	张博荀	成都中医药大学	博士	2020	37	3034	原版阅读      CNKI AI阅读
1629	华北南缘元古代熊耳裂陷槽对Columbia超大陆裂解事件的沉积响应	岳亮	成都理工大学	博士	2020	1	438	原版阅读      CNKI AI阅读
1630	国医大师治疗胃痞病用药规律研究	连逸青	广州中医药大学	硕士	2020	1	407	原版阅读      CNKI AI阅读
1631	黄连茎叶的化学成分、药效作用及质量标准研究	楼冠华	成都中医药大学	硕士	2021	1	430	原版阅读      CNKI AI阅读
1632	加味黄连汤对慢性萎缩性胃炎大鼠胃肠道菌群的调节作用研究	王英杰	厦门大学	硕士	2020	2	274	原版阅读      CNKI AI阅读
1633	叶天士《临证指南医案》祛湿法用药特点和应用规律研究	王仕奇	云南中医药大学	硕士	2020	14	1285	原版阅读      CNKI AI阅读
1634	微电解-水解酸化-DMBR处理盐酸黄连素废水研究	陈婷娜	安徽建筑大学	硕士	2020	2	226	原版阅读      CNKI AI阅读
1635	基于NLRP3炎症小体黄芩-黄连药对及单用改善STZ致T2DM小鼠胰岛损伤的研究	刘庆萍	成都中医药大学	硕士	2020	6	245	原版阅读      CNKI AI阅读
